,code,group,minx,miny,maxx,maxy,country,lat,long,tropics,cover_cat,pixels,area,cover_2000,loss_201,loss_202,loss_203,loss_204,loss_205,loss_206,loss_207,loss_208,loss_209,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020
0,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,False,0,886120,521829822.08006287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,False,1-25,6727,3960606.4350141515,487078.76148095017,0.0,4702.0546390625,15294.261511805555,0.0,0.0,7050.539614322917,26479.30369027778,78274.49482118056,21218.337943750004,46472.45978535157,11783.357615451388,130047.3417917752,37682.62182916667,159542.92157384983,0.0,2941.1278170572914,0.0,0.0,0.0,0.0
2,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,False,26-50,2408,1418105.2548509012,537762.6814213842,47089.03110416667,49465.75248854167,152977.0884111979,26474.521454101563,52935.05438867188,0.0,26482.96930566406,229473.19745683597,202655.2460932292,250606.2170005425,107196.09523836806,225954.89501289063,124792.46187152778,211887.06610501301,0.0,151175.02544861112,0.0,0.0,0.0,0.0
3,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,False,51-75,1460,859587.3128378901,548184.0295618862,76561.83629414062,0.0,112408.00387411025,63591.965753906254,79402.98965429688,0.0,68269.7121938368,280051.4345628038,41241.75165407986,234089.98655907123,154309.38793394098,493807.8255585287,194189.73720579428,330666.86885638017,0.0,0.0,0.0,0.0,0.0,0.0
4,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,False,76-100,1019,599881.5165430122,508646.9212813398,0.0,50001.92528146701,146471.20702680122,101275.72281519097,202966.4509742839,0.0,50022.46959331597,50547.64497951389,359772.839098915,0.0,485894.724351888,429697.1849266494,0.0,727086.450105599,0.0,0.0,0.0,0.0,0.0,0.0
5,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,True,1-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,True,26-50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,True,51-75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan,50,50,True,76-100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
