,code,group,minx,miny,maxx,maxy,country,lat,long,tropics
0,KIR,2,169.520798,-2.6730559999999173,176.84869400000002,3.39580600000005,Kiribati,0,170,False
1,KIR,2,169.520798,-2.6730559999999173,176.84869400000002,3.39580600000005,Kiribati,0,170,True
2,SLB,1,155.39250200000004,-12.308333999999943,170.1925050000001,-4.445219999999949,Solomon Islands,0,170,False
3,SLB,1,155.39250200000004,-12.308333999999943,170.1925050000001,-4.445219999999949,Solomon Islands,0,170,True
4,TUV,1,176.05874600000004,-10.791870115999927,179.871353,-5.642499999999927,Tuvalu,0,170,False
5,TUV,1,176.05874600000004,-10.791870115999927,179.871353,-5.642499999999927,Tuvalu,0,170,True
