,code,group,minx,miny,maxx,maxy,country,lat,long,tropics,cover_cat,pixels,area,cover_2000,loss_201,loss_202,loss_203,loss_204,loss_205,loss_206,loss_207,loss_208,loss_209,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020
0,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,False,0,70032292,38495168586.81111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,False,1-25,10499929,5544442023.26025,663543804.4443336,23910101.66205701,24511378.52302319,12572219.780398527,22600459.670537077,33284704.160984665,22687593.984195706,23418535.86798139,12119672.724625219,9205767.063214637,11849133.192653283,13789361.291391779,63022432.33385833,39904600.89640454,63187795.63167614,45321051.1637739,77917848.7937561,45589806.484918654,135249475.45198536,101125851.21965432,54617366.44312633
2,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,False,26-50,16047591,8366008457.609982,3355246617.8740315,608403115.6071419,594042056.9494654,340096597.9649018,431196937.99479616,474582769.21829623,328538123.0978938,462880761.4618162,157879662.33802438,138085740.0062745,183910187.3584331,176999959.27579656,463481696.6114801,385624372.86209226,556087531.7062775,392876274.2603728,589948231.3327715,427151067.6891033,1896906762.1173346,815025150.4082,412061778.17770934
3,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,False,51-75,42525496,21914579450.043755,14187221068.887754,3907918139.0406814,4158557152.936606,3356703253.711929,3319374404.6003337,3438246529.7661886,2519000254.292113,3018487152.898903,992287535.9534119,830958466.121732,844709453.513522,894080666.445318,2029739241.2655718,2478914205.462248,2923737563.346648,2519059554.854289,3619056726.106849,3049461600.426804,4841952316.564172,3396648202.438749,2563637880.7766867
4,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,False,76-100,335824994,173610469157.27194,157755544964.29013,86209532971.67421,93313016676.95537,75300615985.06117,103718491732.95862,111842877818.02658,102765537900.99992,101692857058.3846,67189047117.7773,53308073126.031364,59628586941.68998,74763084985.24622,83123523414.426,53015720844.68607,63595433803.62,63741999485.47249,81568323754.1855,82240279834.7388,88855045832.3029,73203623996.73021,66805119002.374306
5,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,True,1-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,True,26-50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,True,51-75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada,50,-90,True,76-100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
