,code,group,minx,miny,maxx,maxy,country,lat,long,tropics,cover_cat,pixels,area,cover_2000,loss_201,loss_202,loss_203,loss_204,loss_205,loss_206,loss_207,loss_208,loss_209,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020
0,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,False,0,2420314,1699191656.508214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,False,1-25,87701789,61529963842.07349,7915795099.848436,153135561.30456308,355816734.14315414,359178834.8915094,231926428.6746349,681567994.4617336,535293859.9372475,1008242184.8636409,337106765.5226199,1196782692.9231138,362501321.1655497,777679297.1459411,342446346.6493029,872592374.7186401,1106512902.5451088,600169076.2979103,690222192.8917342,2307324678.9931607,1250614377.3799596,685688540.8745898,1121532348.385202
2,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,False,26-50,14790769,10354327007.508783,3759065354.9248047,458856965.898761,1077581193.6188087,1144351482.1891055,1751017519.4277442,1543391718.7210145,2204807943.632635,2825712391.200273,1189761326.301992,3287799583.0001564,1072690280.9171573,2581355556.0498238,970938384.0405076,1578601778.3671205,2876937383.846196,1591498784.0833237,1659260830.5669112,3904718630.6422186,2162974835.8369794,2365963745.677281,2678773719.9411955
3,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,False,51-75,4170968,2909549718.778477,1662498159.1292667,200971593.2887959,540517322.4186027,505575058.1505136,1116092510.9944315,577447847.2396797,1254874798.694956,1528348539.4105642,782557240.8413423,2372304722.5479274,933057902.1203918,1700799104.4629328,833097716.082983,785901873.6592181,1772938947.2017193,1496297938.923102,1591794477.2171075,1870047741.2002125,1248659207.0688765,1621173319.5400183,1767086716.031573
4,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,False,76-100,88598,61889383.89950322,51347723.65027548,45772977.95177261,111830119.60118714,82410643.41698636,196496602.36971593,58083225.12169921,228682327.72002524,216882057.849031,133889154.98843724,380588201.1930977,209447169.5390689,253858624.88337982,109408871.20223391,14299521.792111749,37681759.6344029,28438459.22785873,53098748.19461624,27962958.89914492,18670502.83510585,25626471.98189473,41022079.40327998
5,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,True,0,3277835,2341904777.7703233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,True,1-25,116997249,83545372623.96468,11291681747.515617,154159767.36012515,282801991.29497105,266429068.47672743,283606003.1900318,535727307.5950988,595884197.2506442,651578326.3709337,245428707.58017692,731070434.5771385,258542530.96519223,406374890.7879841,411543232.851236,1013914085.8423879,1387126434.0684948,803281002.0930995,978977230.0025392,2402515419.3114386,999040857.5971243,1091853502.1045969,1854457261.0950193
7,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,True,26-50,45187729,32347816120.208656,12212955033.425093,1828586265.8414195,4774777223.735981,2569727756.7718873,4137447466.582685,4657732624.973858,4181135565.8148003,7495506842.057522,2717341977.5713754,8075521164.960294,2585113495.574902,4332809897.313043,3066350223.867822,4602434449.6229315,6318501480.129544,5157282978.6135435,6516781192.046255,11640004417.400042,5284467452.894311,8178671380.529354,9853394839.107292
8,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,True,51-75,9136052,6553716285.213993,3571599143.6463847,1363096088.6430156,3516141168.5221424,1882715666.2048795,3395637050.0526633,2580631560.686002,3932906805.615591,5315048190.928016,3169273720.743218,9608310861.035244,3878124138.149838,6912538117.800713,2918201790.8540654,3713969400.0076327,5177370762.0668335,4225391096.3264923,5713321027.484196,8729720379.190771,3276712532.0163083,5440318167.07229,6648749883.858984
9,MOZ,1,30.21741485600012,-26.868694303999973,40.83930600000008,-10.471249999999998,Mozambique,-20,30,True,76-100,94246,67824502.58665626,55269240.87211802,12864690.146994432,28933850.744180314,26032355.099306386,57304276.123562835,33111467.71047095,81498509.95497294,79782100.90764189,74332439.34691633,154265566.6121671,99420330.60749257,275536867.9415113,93941829.75201829,95305884.85219905,141569471.63865602,83854430.52311897,133729832.78840984,286034668.1374068,55346608.99113223,83444763.25632308,92350313.92093277
