,code,group,minx,miny,maxx,maxy,country,lat,long,tropics
0,ASM,1,-171.08954729357131,-14.373241821583122,-169.41871219171207,-11.048124670749814,American Samoa,-10,-170,False
1,ASM,1,-171.08954729357131,-14.373241821583122,-169.41871219171207,-11.048124670749814,American Samoa,-10,-170,True
2,COK,1,-165.87943999999993,-21.959087370999896,-157.32055663999992,-8.914978999999903,Cook Islands,-10,-170,False
3,COK,1,-165.87943999999993,-21.959087370999896,-157.32055663999992,-8.914978999999903,Cook Islands,-10,-170,True
4,KIR,1,-174.54339599999994,-17.85211400000003,-143.06629899999996,4.699492000000021,Kiribati,-10,-170,False
5,KIR,1,-174.54339599999994,-17.85211400000003,-143.06629899999996,4.699492000000021,Kiribati,-10,-170,True
6,NIU,1,-169.95083618299992,-19.156156539999927,-169.77360534799996,-18.952222823999875,Niue,-10,-170,False
7,NIU,1,-169.95083618299992,-19.156156539999927,-169.77360534799996,-18.952222823999875,Niue,-10,-170,True
