,code,group,minx,miny,maxx,maxy,country,lat,long,tropics,cover_cat,pixels,area,cover_2000,loss_201,loss_202,loss_203,loss_204,loss_205,loss_206,loss_207,loss_208,loss_209,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020
0,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,False,1-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,False,26-50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,False,51-75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,False,76-100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,True,0,680499,519946118.5179191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,True,1-25,78688677,59851474294.005455,9480964454.259964,41769641.622859046,98870672.7157319,42031314.737423174,123740244.87066188,156721219.25564572,100630576.16202813,251069740.03316724,67619534.6474937,174723279.1222106,224596370.4570448,64407140.405202225,128342781.5573556,175178446.62962836,136986846.21582875,41700912.81109273,77156570.53243637,115106720.18033761,214555665.57046187,155500535.44068277,156605351.29046518
7,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,True,26-50,162548150,124086947213.37407,48978888061.61097,440810262.69932276,747625415.57698,294327489.6801149,231357701.67529708,363857115.76094717,456603238.34435546,722630642.7215453,280369155.9793305,1120016037.9831734,760674272.3957195,700407273.9836367,1044078567.7320523,1425803705.8421109,1458067112.7828152,272671136.32375187,280778400.1056126,484702876.3078168,775778504.9450113,784422120.5770748,854786981.3006059
8,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,True,51-75,161633805,123609740417.04646,70895547571.11763,2051234717.422446,2830831444.775613,1274269249.2139106,1010874319.5665979,1364557302.6635947,1493075852.5164566,2566489737.434801,920566728.0575986,4942325683.388128,2399541025.5170636,3664982736.4746537,4253426354.9136486,4212409222.4505033,5642855091.793785,1515761896.1102204,3051674192.8944063,4692776263.27081,2358548635.938754,2657193384.036989,3448774274.5276012
9,CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic,10,20,True,76-100,37709717,28887317058.470383,25722331348.357628,5965878164.22922,8796604477.80092,5365656604.507535,4928454392.65,4307829389.069554,3792165736.3115816,7558806422.485643,3670676957.178936,9639702823.634892,5324282261.84967,8462079594.001624,6206006660.051837,5018707159.437723,4933530868.491993,3083580848.360147,5480517804.321375,9752034308.73647,4300740582.59064,5622208559.780892,6185496640.728882
10,COD,1,12.201528550000036,-13.45567607799984,31.30572319000009,5.386097909000114,"Congo, The Democratic Republic of the",10,20,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
