code,group,minx,miny,maxx,maxy,country
ABW,1,-70.06346893199998,12.412361145000148,-69.86541748099984,12.624029160000076,Aruba
AFG,1,60.50486755300005,29.361572266999985,74.89412689300013,38.49041112266684,Afghanistan
AGO,1,11.668703333333552,-18.04208183299977,24.082117080000103,-4.372591017999923,Angola
AIA,1,-63.4278433944736,18.16089488888906,-62.92669461579982,18.59179715712935,Anguilla
ALA,1,19.304688000000112,59.74792100100012,21.32861100000008,60.65208435000011,Åland Islands
ALB,1,19.26415965909109,39.65069600100014,21.04908752400001,42.66043090800008,Albania
AND,1,1.4142130015001726,42.42955850300029,1.7842088940000735,42.65207672150018,Andorra
ARE,1,51.49797799999999,22.63162140100001,56.38116073700013,26.06932640000008,United Arab Emirates
ARG,1,-73.5605649998796,-55.06153099999989,-53.59183502099995,-21.77854728599988,Argentina
ARM,1,43.4497795100001,38.83052063000008,46.6300354010001,41.301837921000185,Armenia
ASM,1,-171.08954729357131,-14.373241821583122,-169.41871219171207,-11.048124670749814,American Samoa
ATA,1,-179.99999999999994,-90.0,180.0,-59.59375,Antarctica
ATF,1,40.328194,-50.018889998999896,77.603271,-11.51374999999996,French Southern Territories
ATG,1,-62.349029541999926,16.93152809200018,-61.65652799999992,17.72958399999999,Antigua and Barbuda
AUS,1,112.921112,-55.116942998999946,159.10922200000027,-9.14217599999995,Australia
AUT,1,9.533723831000032,46.37481689500004,17.16236114500009,49.01704406800008,Austria
AZE,1,44.77260208100012,38.39704513500016,50.60782599999993,41.90748214700005,Azerbaijan
BDI,1,29.000345230000107,-4.470001219999915,30.85022544900005,-2.30982255899994,Burundi
BEL,1,2.5553555490001827,49.49721527100007,6.407870293000144,51.50382232700008,Belgium
BEN,1,0.7743450010000856,6.274861000000044,3.8517010210001104,12.418351173000133,Benin
BES,1,-68.42069199999997,12.02430600000008,-62.94180679399983,17.65069389399997,"Bonaire, Sint Eustatius and Saba"
BFA,1,-5.518918036999878,9.401107789000092,2.405400038000039,15.082592010000155,Burkina Faso
BGD,1,88.01056671200013,20.74111175600018,92.67366027900016,26.634073258000058,Bangladesh
BGR,1,22.343748092,41.23480987600016,28.609027863000108,44.21267685749166,Bulgaria
BHR,1,50.274670000000015,25.556249620000187,50.82486000000006,26.288752000000045,Bahrain
BHS,1,-80.475975,20.91208300000005,-72.71208200000001,27.27138900000012,Bahamas
BIH,1,15.727386474000127,42.56530771900015,19.61470985300008,45.27468109100005,Bosnia and Herzegovina
BLM,1,-62.94794199999996,17.870718621000037,-62.78889877699999,17.960940000000107,Saint Barthélemy
BLR,1,23.178337097000053,51.26956939700011,32.7946090690001,56.16836166300016,Belarus
BLZ,1,-89.22417399999989,15.892657999999985,-87.48596999999995,18.49729000000008,Belize
BMU,1,-64.88777899999997,32.24666600000006,-64.64620200000002,32.47722600000003,Bermuda
BOL,1,-69.6390228279999,-22.898041571999897,-57.45384979199986,-9.669329641999925,"Bolivia, Plurinational State of"
BRA,1,-73.98970794799999,-33.74708175599994,-28.84694499999995,5.264877796000064,Brazil
BRB,1,-59.65069579999994,13.044584275000034,-59.41930389399988,13.335140228000114,Barbados
BRN,1,114.12805175800008,4.022199155000067,115.37596100000007,5.046018999999944,Brunei Darussalam
BTN,1,88.74604034400011,26.700654983000103,92.12475586000016,28.247678756000084,Bhutan
BVT,1,3.284445000000119,-54.464584,3.487486000000104,-54.386391,Bouvet Island
BWA,1,19.99953460600005,-26.907379149999883,29.368310928000028,-17.780809401999875,Botswana
CAF,1,14.417740822000155,2.220515012000021,27.46342086800007,11.00757026700012,Central African Republic
CAN,1,-141.006866,41.67692566000011,-52.618888854999966,83.11041999999992,Canada
CCK,1,96.81694,-12.20872300000002,96.92948200000006,-11.814619999999934,Cocos (Keeling) Islands
CHE,1,5.956063271000176,45.81705856400004,10.495111999982896,47.80848312300003,Switzerland
CHL,1,-109.45491613699994,-55.9800016879999,-66.41821399999998,-17.498399998999957,Chile
CHN,1,73.55770111200007,18.15930599999996,134.77392578100023,53.56085968000019,China
CIV,1,-8.59930229199989,4.36180686900002,-2.4948968889999605,10.736639977000152,Côte d'Ivoire
CMR,1,8.499454498000148,1.6522671290000517,16.19104576100011,13.077390670000057,Cameroon
COD,1,12.201528550000036,-13.45567607799984,31.30572319000009,5.386097909000114,"Congo, The Democratic Republic of the"
COG,1,11.200858116000006,-5.030664000000002,18.64999961800009,3.703082084000073,Congo
